"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1488513576725476681",="1488513576723476681","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 11:11:30","2022-02-16 11:11:40"
="2471419693887844643",="2471419693886844643","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","138.96","138.96","没有申请退款","无退款申请","2022-02-16 10:59:58","2022-02-16 11:00:03"
="2471419693888844643",="2471419693886844643","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:59:58","2022-02-16 11:00:03"
="2470358232359549604",="2470358232358549604","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443004787","颜色分类：灰色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","交易关闭","9343443004787",="null","178.43","178.43","退款成功","178.43","2022-02-16 10:51:34","2022-02-16 10:51:44"
="2470358232360549604",="2470358232358549604","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","交易关闭","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:51:34","2022-02-16 10:51:44"
="1488470088052045677",="1488470088051045677","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000321","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","卖家已发货，等待买家确认","9343443000321",="null","278.39","278.39","没有申请退款","无退款申请","2022-02-16 10:36:56","2022-02-16 10:37:11"
="1488470088053045677",="1488470088051045677","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","卖家已发货，等待买家确认","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:36:56","2022-02-16 10:37:11"
="2471699774828409549",="2471699774827409549","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","交易关闭","9343443005920",="null","133.63","133.63","退款成功","133.63","2022-02-16 10:34:10","2022-02-16 10:34:16"
="2471699774829409549",="2471699774827409549","lovetodream旗舰店赠品专用链接单拍无效","15.00","1","null","null","null","null","交易关闭","null",="null","0.00","0.00","没有申请退款","无退款申请","2022-02-16 10:34:10","2022-02-16 10:34:16"
="2472359799475079259",="2472359799474079259","【暖春价】Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","242.47","242.47","没有申请退款","无退款申请","2022-02-16 10:29:49","2022-02-16 10:29:56"
