"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2458835030724362128",="2458835030724362128","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","281.20","281.20","没有申请退款","无退款申请","2022-02-09 16:08:08","2022-02-09 16:08:12"
="1484968694926937589",="1484968694926937589","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000307","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】S码：2.5-4.5kg（约0-1个月）","null","null","卖家已发货，等待买家确认","9343443000307",="null","264.57","264.57","没有申请退款","无退款申请","2022-02-09 16:02:43","2022-02-09 16:02:49"
="2459434611973804869",="2459434611973804869","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002257","颜色分类：浅紫色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443002257",="null","177.95","177.95","没有申请退款","无退款申请","2022-02-09 16:02:26","2022-02-09 16:02:34"
="2457358920587058626",="2457358920587058626","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","281.32","281.32","没有申请退款","无退款申请","2022-02-09 15:58:03","2022-02-09 15:58:07"
="2458791290553295226",="2458791290553295226","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443002059","颜色分类：绿松色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】L码：7.5-10kg（约3-9个月）","null","null","卖家已发货，等待买家确认","9343443002059",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-09 15:45:56","2022-02-09 15:46:00"
="2459386443940489542",="2459386443940489542","Love to dream 新生婴儿睡袋竹纤维轻薄款防踢被防惊跳投降式睡姿","439.00","1","9343443009577","颜色分类：灰色波点(竹纤维四季通用款) 1.0TOG;长度：【尺码详询客服】S码：3.5-6kg（约1-3个月）","null","null","卖家已发货，等待买家确认","9343443009577",="null","316.00","316.00","没有申请退款","无退款申请","2022-02-09 15:39:13","2022-02-09 15:39:19"
="2458778294314943916",="2458778294314943916","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005920","颜色分类：粉红色 (秋冬季保暖款) 2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005920",="null","173.63","173.63","没有申请退款","无退款申请","2022-02-09 15:38:10","2022-02-09 15:38:14"
="2458775378585577073",="2458775378585577073","Love to dream 婴儿睡袋襁褓四季通用款防踢被防惊跳投降式睡袋","509.00","1","9343443000857","颜色分类：灰色（四季通用款）1.0TOG;长度：【尺码详询客服】XL码：11-14kg (约9-12个月)","null","null","卖家已发货，等待买家确认","9343443000857",="null","321.03","321.03","没有申请退款","无退款申请","2022-02-09 15:38:01","2022-02-09 15:38:11"
="2459363043515684129",="2459363043515684129","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","399.00","1","9343443000376","颜色分类：粉红色 (四季通用款) 1.0TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443000376",="null","285.76","285.76","没有申请退款","无退款申请","2022-02-09 15:25:45","2022-02-09 15:27:13"
="2458744994704417962",="2458744994704417962","Love to dream 新生婴儿睡袋襁褓防踢被四季通用防惊跳投降式睡袋","499.00","1","9343443005951","颜色分类：蓝色（秋冬季保暖款）2.5TOG;长度：【尺码详询客服】M码：4.5-7.5kg（约1-6个月）","null","null","卖家已发货，等待买家确认","9343443005951",="null","133.63","133.63","没有申请退款","无退款申请","2022-02-09 15:22:26","2022-02-09 15:22:32"
